city,instance_id,solver,variant,reference_variant,num_customers,total_demand,distance_m,fuel_l,co2_kg,distance_penalty_pct,fuel_penalty_pct,co2_penalty_pct,feasible,infeasible_reason,runtime_seconds,seed
macau,0,OR-Tools,SE,AR,20,131,23592.03642732843,98.88627149909394,265.0152076175718,5.7240752388755025,5.744320995877843,5.744320995877847,True,,45.64735600003041,42
macau,0,OR-Tools,SM,AR,20,131,23865.746945488154,100.08498583168264,268.2277620289095,6.950666741678948,7.026169641256096,7.026169641256105,True,,45.00138939998578,42
macau,0,OR-Tools,SR,AR,20,131,24375.141196060787,102.11632878486267,273.671761143432,9.23343856765863,9.198392114986959,9.198392114986959,True,,45.00112269993406,42
macau,0,OR-Tools,AR,AR,20,131,22314.72479094664,93.51449852607097,250.6188560498702,0.0,0.0,0.0,True,,45.00143490009941,42
macau,1,OR-Tools,SE,AR,20,135,26733.173455895394,112.05747634046607,300.3140365924491,13.607330271833744,13.43833376663397,13.438333766633985,True,,45.00131970003713,43
macau,1,OR-Tools,SM,AR,20,135,26768.64231311577,112.13218088117388,300.514244761546,13.758061429256855,13.51395887349385,13.513958873493857,True,,45.00121080002282,43
macau,1,OR-Tools,SR,AR,20,135,26299.779344200364,110.10429421464127,295.0795084952386,11.765545641721031,11.461083045556245,11.461083045556242,True,,45.0011282999767,43
macau,1,OR-Tools,AR,AR,20,135,23531.204713577583,98.78272416358952,264.7377007584199,0.0,0.0,0.0,True,,45.00253980001435,43
macau,2,OR-Tools,SE,AR,20,139,25703.47778888514,107.88121594752363,289.12165873936334,6.636370246005867,6.617081747227253,6.61708174722726,True,,45.00184119993355,44
macau,2,OR-Tools,SM,AR,20,139,26799.34154371454,112.55649976489447,301.6514193699172,11.182795210712364,11.237581364051954,11.23758136405197,True,,45.0010934000602,44
macau,2,OR-Tools,SR,AR,20,139,26747.297679100102,112.28549567523575,300.92512840963184,10.966880116979087,10.969752855379681,10.969752855379694,True,,45.00110849994235,44
macau,2,OR-Tools,AR,AR,20,139,24103.856620014576,101.18567698494454,271.17761431965135,0.0,0.0,0.0,True,,45.00136840005871,44
macau,3,OR-Tools,SE,AR,20,114,26721.796587132496,112.40381567924774,301.24222602038395,18.510667298321177,18.628298713853688,18.62829871385368,True,,45.00189760001376,45
macau,3,OR-Tools,SM,AR,20,114,26526.37586848527,111.5724305113221,299.0141137703432,17.643980071836094,17.75087469180459,17.750874691804583,True,,45.00112410006113,45
macau,3,OR-Tools,SR,AR,20,114,22821.965809640278,95.85168618920967,256.88251898708194,1.2149908536585583,1.1595771261652883,1.1595771261652876,True,,45.00148590002209,45
macau,3,OR-Tools,AR,AR,20,114,22548.009555854587,94.75295262421307,253.93791303289103,0.0,0.0,0.0,True,,45.001195800025016,45
macau,4,OR-Tools,SE,AR,20,124,28292.370213446262,118.83299304924114,318.4724213719663,11.00535388583959,11.079744555382373,11.079744555382385,True,,45.00125470000785,46
macau,4,OR-Tools,SM,AR,20,124,26415.255868683438,110.62310799921093,296.4699294378853,3.6404798737798596,3.4055127550563453,3.40551275505635,True,,45.001138699939474,46
macau,4,OR-Tools,SR,AR,20,124,27812.795769564265,116.80806645883538,313.04561810967886,9.123739498069947,9.186934127621218,9.18693412762123,True,,45.001181600033306,46
macau,4,OR-Tools,AR,AR,20,124,25487.392475269953,106.97989406159746,286.7061160850812,0.0,0.0,0.0,True,,45.002544099930674,46
macau,5,OR-Tools,SE,AR,20,137,28738.803016525802,120.50831059369831,322.96227239111147,20.556412596876925,20.774062148554155,20.774062148554144,True,,45.00128399999812,47
macau,5,OR-Tools,SM,AR,20,137,27259.968004088136,114.2013097988292,306.0595102608623,14.352847200655512,14.453152808627392,14.453152808627395,True,,45.001871199929155,47
macau,5,OR-Tools,SR,AR,20,137,25046.14987132682,104.96569702279314,281.3080680210856,5.066100912922165,5.197173151309979,5.197173151309971,True,,45.003456600010395,47
macau,5,OR-Tools,AR,AR,20,137,23838.46897686328,99.77995974456091,267.41029211542326,0.0,0.0,0.0,True,,45.0016635999782,47
macau,6,OR-Tools,SE,AR,20,125,26229.228429868974,110.06271511138661,294.96807649851615,16.162463125108044,16.166987786988532,16.166987786988543,True,,45.00127469992731,48
macau,6,OR-Tools,SM,AR,20,125,26861.10383899847,112.90447545459591,302.58399421831706,18.960875747458847,19.16635718060247,19.166357180602475,True,,45.001134300022386,48
macau,6,OR-Tools,SR,AR,20,125,25411.044130126716,106.83323823034775,286.313078457332,12.538936653390662,12.758398411210075,12.758398411210079,True,,45.00116780004464,48
macau,6,OR-Tools,AR,AR,20,125,22579.779839568186,94.74526042906861,253.91729794990388,0.0,0.0,0.0,True,,45.00154470000416,48
macau,7,OR-Tools,SE,AR,20,133,30054.34139483679,126.41312456276884,338.78717382822055,14.468768437685243,14.816853674326563,14.816853674326575,True,,45.00129500008188,49
macau,7,OR-Tools,SM,AR,20,133,31047.343776517613,130.34307647162103,349.3194449439444,18.250842987028715,18.386298815616243,18.386298815616254,True,,45.00170490005985,49
macau,7,OR-Tools,SR,AR,20,133,28352.366250728068,118.94221830127461,318.76514504741596,7.986410494844181,8.031276986720277,8.031276986720279,True,,45.001561300014146,49
macau,7,OR-Tools,AR,AR,20,133,26255.494669009073,110.09979852028923,295.06746003437513,0.0,0.0,0.0,True,,45.001136900042184,49
macau,8,OR-Tools,SE,AR,20,124,24906.7106412376,104.55686666105802,280.2124026516355,3.198026559259903,3.3770425971085762,3.3770425971085767,True,,45.00129729998298,50
macau,8,OR-Tools,SM,AR,20,124,26863.35701973465,112.78757003703802,302.27068769926194,11.30516073059842,11.514870371357983,11.514870371357999,True,,45.001273400033824,50
macau,8,OR-Tools,SR,AR,20,124,24964.657082331752,104.80185578543085,280.8689735049547,3.4381208235401433,3.6192672539378363,3.619267253937844,True,,45.00253789999988,50
macau,8,OR-Tools,AR,AR,20,124,24134.871054860047,101.14128246882393,271.05863701644813,0.0,0.0,0.0,True,,45.001407900010236,50
macau,9,OR-Tools,SE,AR,20,118,24434.022319056643,102.69203095467192,275.21464295852076,6.752808994967475,6.899460859873652,6.8994608598736455,True,,45.00122029997874,51
macau,9,OR-Tools,SM,AR,20,118,25195.453331356166,105.72303348467184,283.3377297389206,10.0795187097024,10.054647618862997,10.054647618863005,True,,45.00266090000514,51
macau,9,OR-Tools,SR,AR,20,118,24727.168145053103,103.95555315638231,278.6008824591046,8.033569893097011,8.214751256719932,8.214751256719921,True,,45.00151019997429,51
macau,9,OR-Tools,AR,AR,20,118,22888.41160161744,96.06412429832838,257.4518531195201,0.0,0.0,0.0,True,,45.00115380005445,51
macau,10,OR-Tools,SE,AR,20,115,24949.191547356964,104.93194108776929,281.2176021152217,11.571627725500234,11.734029896900164,11.734029896900172,True,,45.001683600014076,52
macau,10,OR-Tools,SM,AR,20,115,25218.747467189838,106.14844104862811,284.47782201032334,12.777069299898029,13.029388027009329,13.029388027009322,True,,45.001204999978654,52
macau,10,OR-Tools,SR,AR,20,115,24063.283091000154,101.26216203491725,271.38259425357825,7.609886187547047,7.826361763100808,7.826361763100809,True,,45.001098299981095,52
macau,10,OR-Tools,AR,AR,20,115,22361.5914332087,93.91224963835339,251.68482903078709,0.0,0.0,0.0,True,,45.00122380000539,52
macau,11,OR-Tools,SE,AR,20,132,30977.177926817916,129.94697696104961,348.257898255613,27.813942065240052,27.84040516730527,27.840405167305274,True,,45.00117169995792,53
macau,11,OR-Tools,SM,AR,20,132,27113.965081387792,113.60813155070602,304.4697925558921,11.874063229988808,11.76642894967938,11.766428949679371,True,,45.00117109995335,53
macau,11,OR-Tools,SR,AR,20,132,27860.553741565724,116.77411994564105,312.95464145431805,14.954538797646485,14.881093473847553,14.881093473847566,True,,45.0010864000069,53
macau,11,OR-Tools,AR,AR,20,132,24236.149379545965,101.64781376512963,272.4161408905474,0.0,0.0,0.0,True,,45.001286200014874,53
macau,12,OR-Tools,SE,AR,20,126,27706.71707729427,116.28752438358207,311.65056534799993,11.272770846028498,11.039171986535699,11.039171986535697,True,,45.00120259996038,54
macau,12,OR-Tools,SM,AR,20,126,28197.24921914353,118.65996112140819,318.008695805374,13.2427938718649,13.304534606946277,13.304534606946289,True,,45.00148890004493,54
macau,12,OR-Tools,SR,AR,20,126,25031.63696256902,105.26002222507958,282.0968595632133,0.5293985522201342,0.5093691099966162,0.5093691099966206,True,,45.00134519999847,54
macau,12,OR-Tools,AR,AR,20,126,24899.81768822212,104.72657738989874,280.6672274049286,0.0,0.0,0.0,True,,45.00296860001981,54
macau,13,OR-Tools,SE,AR,20,125,23398.775358006442,97.97027884186903,262.56034729620904,10.472921163321281,9.94528707988233,9.945287079882345,True,,45.00131500000134,55
macau,13,OR-Tools,SM,AR,20,125,24443.666882818798,102.69053713497962,275.2106395217454,15.406180159943093,15.24250741304984,15.242507413049845,True,,45.00119179999456,55
macau,13,OR-Tools,SR,AR,20,125,21936.746511881753,91.92484464882108,246.3585836588405,3.570226685288767,3.1609132296250135,3.1609132296250153,True,,45.001185399945825,55
macau,13,OR-Tools,AR,AR,20,125,21180.55276497495,89.10821140581253,238.81000656757757,0.0,0.0,0.0,True,,45.00111910002306,55
macau,14,OR-Tools,SE,AR,20,138,22595.648477221093,94.9148617750985,254.371829557264,15.248468614699139,15.295480735781,15.295480735780995,True,,45.00121490005404,56
macau,14,OR-Tools,SM,AR,20,138,22702.950814959382,95.48090307560861,255.88882024263108,15.795761165987573,15.983065405221476,15.98306540522147,True,,45.00156020000577,56
